"time","y1"
0,0
0.001,0
0.002,0
0.003,0
0.004,0
0.005,0
0.006,0
0.007,0
0.008,0
0.009,0
0.01,0
0.011,0
0.012,0
0.013,0
0.014,0
0.015,0
0.016,0
0.017,0
0.018,0
0.019,0
0.02,0
0.021,0
0.022,0
0.023,0
0.024,0
0.025,0
0.026,0
0.027,0
0.028,0
0.029,0
0.03,0
0.031,0
0.032,0
0.033,0
0.034,0
0.035,0
0.036,0
0.037,0
0.038,0
0.039,0
0.04,0
0.041,0
0.042,0
0.043,0
0.044,0
0.045,0
0.046,0
0.047,0
0.048,0
0.049,0
0.05,0
0.051,0
0.052,0
0.053,0
0.054,0
0.055,0
0.056,0
0.057,0
0.058,0
0.059,0
0.06,0
0.061,0
0.062,0
0.063,0
0.064,0
0.065,0
0.066,0
0.067,0
0.068,0
0.069,0
0.07,0
0.071,0
0.072,0
0.073,0
0.074,0
0.075,0
0.076,0
0.077,0
0.078,0
0.079,0
0.08,0
0.081,0
0.082,0
0.083,0
0.084,0
0.085,0
0.086,0
0.087,0
0.088,0
0.089,0
0.09,0
0.091,0
0.092,0
0.093,0
0.094,0
0.095,0
0.096,0
0.097,0
0.098,0
0.099,0
0.1,0
0.101,0
0.102,0
0.103,0
0.104,0
0.105,0
0.106,0
0.107,0
0.108,0
0.109,0
0.11,0
0.111,0
0.112,0
0.113,0
0.114,0
0.115,0
0.116,0
0.117,0
0.118,0
0.119,0
0.12,0
0.121,0
0.122,0
0.123,0
0.124,0
0.125,0
0.126,0
0.127,0
0.128,0
0.129,0
0.13,0
0.131,0
0.132,0
0.133,0
0.134,0
0.135,0
0.136,0
0.137,0
0.138,0
0.139,0
0.14,0
0.141,0
0.142,0
0.143,0
0.144,0
0.145,0
0.146,0
0.147,0
0.148,0
0.149,0
0.15,0
0.151,0
0.152,0
0.153,0
0.154,0
0.155,0
0.156,0
0.157,0
0.158,0
0.159,0
0.16,0
0.161,0
0.162,0
0.163,0
0.164,0
0.165,0
0.166,0
0.167,0
0.168,0
0.169,0
0.17,0
0.171,0
0.172,0
0.173,0
0.174,0
0.175,0
0.176,0
0.177,0
0.178,0
0.179,0
0.18,0
0.181,0
0.182,0
0.183,0
0.184,0
0.185,0
0.186,0
0.187,0
0.188,0
0.189,0
0.19,0
0.191,0
0.192,0
0.193,0
0.194,0
0.195,0
0.196,0
0.197,0
0.198,0
0.199,0
0.2,0
0.201,0
0.202,0
0.203,0
0.204,0.00044887
0.205,0.00244691
0.206,0.00444354
0.207,0.00643943
0.208,0.00843459
0.209,0.010429
0.21,0.0124222
0.211,0.0144139
0.212,0.0164046
0.213,0.0183943
0.214,0.0203831
0.215,0.0223709
0.216,0.0243577
0.217,0.0263435
0.218,0.0283284
0.219,0.0303121
0.22,0.0322944
0.221,0.0342756
0.222,0.0362558
0.223,0.038235
0.224,0.0402131
0.225,0.0421902
0.226,0.0441663
0.227,0.0461413
0.228,0.0481153
0.229,0.0500882
0.23,0.0520601
0.231,0.0540309
0.232,0.0560007
0.233,0.0579695
0.234,0.0599372
0.235,0.0619039
0.236,0.0638694
0.237,0.0658338
0.238,0.0677973
0.239,0.0697596
0.24,0.0717209
0.241,0.0736812
0.242,0.0756404
0.243,0.0775986
0.244,0.0795557
0.245,0.0815117
0.246,0.0834667
0.247,0.0854207
0.248,0.0873736
0.249,0.0893254
0.25,0.0912762
0.251,0.0932259
0.252,0.0951746
0.253,0.0971223
0.254,0.0990689
0.255,0.101014
0.256,0.102959
0.257,0.104902
0.258,0.106845
0.259,0.108786
0.26,0.110727
0.261,0.112666
0.262,0.114604
0.263,0.116541
0.264,0.118478
0.265,0.120413
0.266,0.122347
0.267,0.12428
0.268,0.126212
0.269,0.128143
0.27,0.130073
0.271,0.132002
0.272,0.133929
0.273,0.135856
0.274,0.137782
0.275,0.139707
0.276,0.14163
0.277,0.143553
0.278,0.145475
0.279,0.147395
0.28,0.149315
0.281,0.151234
0.282,0.153151
0.283,0.155068
0.284,0.156983
0.285,0.158898
0.286,0.160811
0.287,0.162724
0.288,0.164635
0.289,0.166546
0.29,0.168455
0.291,0.170363
0.292,0.172271
0.293,0.174177
0.294,0.176082
0.295,0.177986
0.296,0.17989
0.297,0.181792
0.298,0.183693
0.299,0.185594
0.3,0.187493
0.301,0.189391
0.302,0.191289
0.303,0.193185
0.304,0.19508
0.305,0.196974
0.306,0.198868
0.307,0.20076
0.308,0.202651
0.309,0.204541
0.31,0.206431
0.311,0.208319
0.312,0.210206
0.313,0.212092
0.314,0.213977
0.315,0.215861
0.316,0.217745
0.317,0.219627
0.318,0.221508
0.319,0.223389
0.32,0.225268
0.321,0.227146
0.322,0.229024
0.323,0.2309
0.324,0.232775
0.325,0.23465
0.326,0.236523
0.327,0.238395
0.328,0.240267
0.329,0.242137
0.33,0.244007
0.331,0.245875
0.332,0.247742
0.333,0.249609
0.334,0.251474
0.335,0.253339
0.336,0.255202
0.337,0.257065
0.338,0.258927
0.339,0.260787
0.34,0.262647
0.341,0.264506
0.342,0.266363
0.343,0.26822
0.344,0.270076
0.345,0.271931
0.346,0.273785
0.347,0.275638
0.348,0.27749
0.349,0.27934
0.35,0.28119
0.351,0.283039
0.352,0.284887
0.353,0.286734
0.354,0.28858
0.355,0.290426
0.356,0.29227
0.357,0.294113
0.358,0.295956
0.359,0.297797
0.36,0.299637
0.361,0.301477
0.362,0.303315
0.363,0.305153
0.364,0.30699
0.365,0.308825
0.366,0.31066
0.367,0.312494
0.368,0.314327
0.369,0.316158
0.37,0.317989
0.371,0.319819
0.372,0.321648
0.373,0.323476
0.374,0.325303
0.375,0.327129
0.376,0.328955
0.377,0.330779
0.378,0.332602
0.379,0.334425
0.38,0.336246
0.381,0.338067
0.382,0.339887
0.383,0.341705
0.384,0.343523
0.385,0.34534
0.386,0.347156
0.387,0.348971
0.388,0.350785
0.389,0.352598
0.39,0.35441
0.391,0.356221
0.392,0.358031
0.393,0.359841
0.394,0.361649
0.395,0.363456
0.396,0.365263
0.397,0.367069
0.398,0.368874
0.399,0.370677
0.4,0.37248
0.401,0.374282
0.402,0.376084
0.403,0.377884
0.404,0.379683
0.405,0.381481
0.406,0.383279
0.407,0.385075
0.408,0.386871
0.409,0.388665
0.41,0.390459
0.411,0.392252
0.412,0.394044
0.413,0.395835
0.414,0.397625
0.415,0.399414
0.416,0.401202
0.417,0.40299
0.418,0.404776
0.419,0.406562
0.42,0.408347
0.421,0.41013
0.422,0.411913
0.423,0.413695
0.424,0.415476
0.425,0.417257
0.426,0.419036
0.427,0.420814
0.428,0.422592
0.429,0.424368
0.43,0.426144
0.431,0.427919
0.432,0.429692
0.433,0.431465
0.434,0.433237
0.435,0.435008
0.436,0.436779
0.437,0.438548
0.438,0.440317
0.439,0.442085
0.44,0.443851
0.441,0.445617
0.442,0.447382
0.443,0.449146
0.444,0.45091
0.445,0.452672
0.446,0.454433
0.447,0.456194
0.448,0.457954
0.449,0.459712
0.45,0.46147
0.451,0.463227
0.452,0.464983
0.453,0.466739
0.454,0.468493
0.455,0.470246
0.456,0.471999
0.457,0.473751
0.458,0.475502
0.459,0.477252
0.46,0.479001
0.461,0.480749
0.462,0.482497
0.463,0.484243
0.464,0.485989
0.465,0.487734
0.466,0.489478
0.467,0.491221
0.468,0.492963
0.469,0.494704
0.47,0.496445
0.471,0.498184
0.472,0.499923
0.473,0.501661
0.474,0.503398
0.475,0.505134
0.476,0.506869
0.477,0.508604
0.478,0.510338
0.479,0.51207
0.48,0.513802
0.481,0.515533
0.482,0.517263
0.483,0.518993
0.484,0.520721
0.485,0.522449
0.486,0.524176
0.487,0.525902
0.488,0.527627
0.489,0.529351
0.49,0.531074
0.491,0.532797
0.492,0.534518
0.493,0.536239
0.494,0.537959
0.495,0.539678
0.496,0.541396
0.497,0.543114
0.498,0.54483
0.499,0.546546
0.5,0.548261
0.501,0.549975
0.502,0.551688
0.503,0.553401
0.504,0.555112
0.505,0.556823
0.506,0.558533
0.507,0.560242
0.508,0.56195
0.509,0.563657
0.51,0.565364
0.511,0.56707
0.512,0.568774
0.513,0.570478
0.514,0.572181
0.515,0.573884
0.516,0.575585
0.517,0.577286
0.518,0.578986
0.519,0.580685
0.52,0.582383
0.521,0.584081
0.522,0.585777
0.523,0.587473
0.524,0.589168
0.525,0.590862
0.526,0.592556
0.527,0.594248
0.528,0.59594
0.529,0.59763
0.53,0.59932
