"time","y1"
0,0
0.001,0
0.002,0
0.003,0
0.004,0
0.005,0
0.006,0
0.007,0
0.008,0
0.009,0
0.01,0
0.011,0
0.012,0
0.013,0
0.014,0
0.015,0
0.016,0
0.017,0
0.018,0
0.019,0
0.02,0
0.021,0
0.022,0
0.023,0
0.024,0
0.025,0
0.026,0
0.027,0
0.028,0
0.029,0
0.03,0
0.031,0
0.032,0
0.033,0
0.034,0
0.035,0
0.036,0
0.037,0
0.038,0
0.039,0
0.04,0
0.041,0
0.042,0
0.043,0
0.044,0
0.045,0
0.046,0
0.047,0
0.048,0
0.049,0
0.05,0
0.051,0
0.052,0
0.053,0
0.054,0
0.055,0
0.056,0
0.057,0
0.058,0
0.059,0
0.06,0
0.061,0
0.062,0
0.063,0
0.064,0
0.065,0
0.066,0
0.067,0
0.068,0
0.069,0
0.07,0
0.071,0
0.072,0
0.073,0
0.074,0
0.075,0
0.076,0
0.077,0
0.078,0
0.079,0
0.08,0
0.081,0
0.082,0
0.083,0
0.084,0
0.085,0
0.086,0
0.087,0
0.088,0
0.089,0
0.09,0
0.091,0
0.092,0
0.093,0
0.094,0
0.095,0
0.096,0
0.097,0
0.098,0
0.099,0
0.1,0
0.101,0
0.102,0
0.103,0
0.104,0
0.105,0
0.106,0
0.107,0
0.108,0
0.109,0
0.11,0
0.111,0
0.112,0
0.113,0
0.114,0
0.115,0
0.116,0
0.117,0
0.118,0
0.119,0
0.12,0
0.121,0
0.122,0
0.123,0
0.124,0
0.125,0
0.126,0
0.127,0
0.128,0
0.129,0
0.13,0
0.131,0
0.132,0
0.133,0
0.134,0
0.135,0
0.136,0
0.137,0
0.138,0
0.139,0
0.14,0
0.141,0
0.142,0
0.143,0
0.144,0
0.145,0
0.146,0
0.147,0
0.148,0
0.149,0
0.15,0
0.151,0
0.152,0
0.153,0
0.154,0
0.155,0
0.156,0
0.157,0
0.158,0
0.159,0
0.16,0
0.161,0
0.162,0
0.163,0
0.164,0
0.165,0
0.166,0
0.167,0
0.168,0
0.169,0
0.17,0
0.171,0
0.172,0
0.173,0
0.174,0
0.175,0
0.176,0
0.177,0
0.178,0
0.179,0
0.18,0
0.181,0
0.182,0
0.183,0
0.184,0
0.185,0
0.186,0
0.187,0
0.188,0
0.189,0
0.19,0
0.191,0
0.192,0
0.193,0
0.194,0
0.195,0
0.196,0
0.197,0
0.198,0
0.199,0
0.2,0
0.201,0
0.202,0
0.203,7.5e-08
0.204,2.2497e-07
0.205,4.4988e-07
0.206,7.497e-07
0.207,1.1244e-06
0.208,1.57395e-06
0.209,2.09832e-06
0.21,2.69748e-06
0.211,3.3714e-06
0.212,4.12005e-06
0.213,4.9434e-06
0.214,5.84142e-06
0.215,6.81407e-06
0.216,7.86134e-06
0.217,8.98319e-06
0.218,1.01796e-05
0.219,1.14505e-05
0.22,1.27959e-05
0.221,1.42158e-05
0.222,1.57101e-05
0.223,1.72788e-05
0.224,1.89218e-05
0.225,2.06392e-05
0.226,2.24309e-05
0.227,2.42969e-05
0.228,2.62371e-05
0.229,2.82516e-05
0.23,3.03402e-05
0.231,3.2503e-05
0.232,3.47399e-05
0.233,3.7051e-05
0.234,3.9436e-05
0.235,4.18952e-05
0.236,4.44283e-05
0.237,4.70354e-05
0.238,4.97165e-05
0.239,5.24714e-05
0.24,5.53003e-05
0.241,5.8203e-05
0.242,6.11795e-05
0.243,6.42299e-05
0.244,6.73539e-05
0.245,7.05518e-05
0.246,7.38233e-05
0.247,7.71685e-05
0.248,8.05874e-05
0.249,8.40798e-05
0.25,8.76459e-05
0.251,9.12855e-05
0.252,9.49986e-05
0.253,9.87852e-05
0.254,0.000102645
0.255,0.000106579
0.256,0.000110586
0.257,0.000114666
0.258,0.00011882
0.259,0.000123047
0.26,0.000127347
0.261,0.00013172
0.262,0.000136167
0.263,0.000140687
0.264,0.00014528
0.265,0.000149946
0.266,0.000154685
0.267,0.000159497
0.268,0.000164383
0.269,0.000169341
0.27,0.000174372
0.271,0.000179477
0.272,0.000184654
0.273,0.000189904
0.274,0.000195227
0.275,0.000200623
0.276,0.000206091
0.277,0.000211633
0.278,0.000217247
0.279,0.000222933
0.28,0.000228693
0.281,0.000234525
0.282,0.000240429
0.283,0.000246407
0.284,0.000252456
0.285,0.000258579
0.286,0.000264774
0.287,0.000271041
0.288,0.000277381
0.289,0.000283793
0.29,0.000290277
0.291,0.000296834
0.292,0.000303463
0.293,0.000310164
0.294,0.000316938
0.295,0.000323784
0.296,0.000330702
0.297,0.000337692
0.298,0.000344754
0.299,0.000351888
0.3,0.000359095
0.301,0.000366373
0.302,0.000373724
0.303,0.000381146
0.304,0.000388641
0.305,0.000396207
0.306,0.000403845
0.307,0.000411555
0.308,0.000419337
0.309,0.00042719
0.31,0.000435116
0.311,0.000443113
0.312,0.000451181
0.313,0.000459322
0.314,0.000467534
0.315,0.000475818
0.316,0.000484173
0.317,0.000492599
0.318,0.000501098
0.319,0.000509667
0.32,0.000518309
0.321,0.000527021
0.322,0.000535805
0.323,0.000544661
0.324,0.000553587
0.325,0.000562585
0.326,0.000571654
0.327,0.000580795
0.328,0.000590007
0.329,0.000599289
0.33,0.000608643
0.331,0.000618068
0.332,0.000627565
0.333,0.000637132
0.334,0.00064677
0.335,0.000656479
0.336,0.000666259
0.337,0.00067611
0.338,0.000686032
0.339,0.000696025
0.34,0.000706089
0.341,0.000716223
0.342,0.000726429
0.343,0.000736705
0.344,0.000747051
0.345,0.000757469
0.346,0.000767957
0.347,0.000778515
0.348,0.000789144
0.349,0.000799844
0.35,0.000810614
0.351,0.000821455
0.352,0.000832366
0.353,0.000843348
0.354,0.0008544
0.355,0.000865523
0.356,0.000876715
0.357,0.000887978
0.358,0.000899312
0.359,0.000910715
0.36,0.000922189
0.361,0.000933733
0.362,0.000945347
0.363,0.000957032
0.364,0.000968786
0.365,0.00098061
0.366,0.000992505
0.367,0.00100447
0.368,0.0010165
0.369,0.00102861
0.37,0.00104078
0.371,0.00105303
0.372,0.00106534
0.373,0.00107772
0.374,0.00109018
0.375,0.0011027
0.376,0.00111529
0.377,0.00112796
0.378,0.00114069
0.379,0.00115349
0.38,0.00116636
0.381,0.0011793
0.382,0.00119231
0.383,0.00120539
0.384,0.00121854
0.385,0.00123176
0.386,0.00124505
0.387,0.00125841
0.388,0.00127184
0.389,0.00128533
0.39,0.0012989
0.391,0.00131253
0.392,0.00132624
0.393,0.00134001
0.394,0.00135385
0.395,0.00136777
0.396,0.00138175
0.397,0.0013958
0.398,0.00140992
0.399,0.0014241
0.4,0.00143836
0.401,0.00145269
0.402,0.00146708
0.403,0.00148155
0.404,0.00149608
0.405,0.00151068
0.406,0.00152535
0.407,0.00154009
0.408,0.0015549
0.409,0.00156977
0.41,0.00158472
0.411,0.00159973
0.412,0.00161481
0.413,0.00162996
0.414,0.00164518
0.415,0.00166047
0.416,0.00167583
0.417,0.00169125
0.418,0.00170674
0.419,0.00172231
0.42,0.00173794
0.421,0.00175363
0.422,0.0017694
0.423,0.00178524
0.424,0.00180114
0.425,0.00181711
0.426,0.00183315
0.427,0.00184926
0.428,0.00186543
0.429,0.00188168
0.43,0.00189799
0.431,0.00191437
0.432,0.00193081
0.433,0.00194733
0.434,0.00196391
0.435,0.00198056
0.436,0.00199728
0.437,0.00201407
0.438,0.00203093
0.439,0.00204785
0.44,0.00206484
0.441,0.0020819
0.442,0.00209902
0.443,0.00211621
0.444,0.00213348
0.445,0.0021508
0.446,0.0021682
0.447,0.00218566
0.448,0.00220319
0.449,0.00222079
0.45,0.00223846
0.451,0.00225619
0.452,0.00227399
0.453,0.00229186
0.454,0.00230979
0.455,0.0023278
0.456,0.00234587
0.457,0.002364
0.458,0.00238221
0.459,0.00240048
0.46,0.00241882
0.461,0.00243722
0.462,0.00245569
0.463,0.00247423
0.464,0.00249284
0.465,0.00251151
0.466,0.00253025
0.467,0.00254906
0.468,0.00256793
0.469,0.00258687
0.47,0.00260588
0.471,0.00262496
0.472,0.0026441
0.473,0.0026633
0.474,0.00268258
0.475,0.00270192
0.476,0.00272133
0.477,0.0027408
0.478,0.00276034
0.479,0.00277995
0.48,0.00279962
0.481,0.00281936
0.482,0.00283917
0.483,0.00285904
0.484,0.00287898
0.485,0.00289898
0.486,0.00291906
0.487,0.00293919
0.488,0.0029594
0.489,0.00297967
0.49,0.003
0.491,0.00302041
0.492,0.00304088
