"time","y1","y2"
0.278,0.0714042,0.142939
0.279,0.0723274,0.14479
0.28,0.0732495,0.14664
0.281,0.0741705,0.148487
0.282,0.0750906,0.150333
0.283,0.0760095,0.152176
0.284,0.0769275,0.154017
0.285,0.0778444,0.155857
0.286,0.0787602,0.157694
0.287,0.079675,0.15953
0.288,0.0805888,0.161363
0.289,0.0815015,0.163195
0.29,0.0824131,0.165025
0.291,0.0833238,0.166852
0.292,0.0842333,0.168678
0.293,0.0851419,0.170502
0.294,0.0860494,0.172323
0.295,0.0869558,0.174143
0.296,0.0878612,0.175961
0.297,0.0887655,0.177777
0.298,0.0896688,0.179591
0.299,0.0905711,0.181403
0.3,0.0914722,0.183213
0.301,0.0923724,0.185021
0.302,0.0932714,0.186827
0.303,0.0941695,0.188631
0.304,0.0950664,0.190433
0.305,0.0959624,0.192233
0.306,0.0968573,0.194031
0.307,0.0977511,0.195828
0.308,0.0986439,0.197622
0.309,0.0995356,0.199414
0.31,0.100426,0.201205
0.311,0.101316,0.202993
0.312,0.102204,0.20478
0.313,0.103092,0.206564
0.314,0.103978,0.208347
0.315,0.104864,0.210128
0.316,0.105748,0.211906
0.317,0.106631,0.213683
0.318,0.107514,0.215458
0.319,0.108395,0.217231
0.32,0.109275,0.219002
0.321,0.110154,0.220771
0.322,0.111032,0.222538
0.323,0.111909,0.224303
0.324,0.112785,0.226066
0.325,0.11366,0.227827
0.326,0.114534,0.229586
0.327,0.115407,0.231344
0.328,0.116278,0.233099
0.329,0.117149,0.234853
0.33,0.118019,0.236604
0.331,0.118887,0.238354
0.332,0.119755,0.240101
0.333,0.120621,0.241847
0.334,0.121487,0.243591
0.335,0.122351,0.245333
0.336,0.123214,0.247072
0.337,0.124077,0.24881
0.338,0.124938,0.250547
0.339,0.125798,0.252281
0.34,0.126657,0.254013
0.341,0.127515,0.255743
0.342,0.128372,0.257471
0.343,0.129228,0.259198
0.344,0.130083,0.260922
0.345,0.130937,0.262645
0.346,0.13179,0.264366
0.347,0.132641,0.266084
0.348,0.133492,0.267801
0.349,0.134342,0.269516
